city,Operateur,2G,3G,4G
Saint-Servais,20801,1,1,0
Ploubezre,20820,1,1,1
Ploubezre,20815,0,1,1
Ploubezre,20810,1,1,1
Lanester,20820,1,0,0
Lanester,20801,1,1,0
Lannion,20810,0,1,1
Plouay,20810,1,1,1
Plouay,20801,1,1,1
Plouay,20820,1,1,1
Plouay,20815,0,1,1
Perros-Guirec,20810,1,1,1
Plouray,20810,1,1,0
Plouray,20820,1,1,0
Plouray,20815,0,1,0
Plouray,20801,1,1,0
Belle-Isle-en-Terre,20810,1,1,0
Trégrom,20820,1,1,1
Trégrom,20810,1,1,0
Belle-Isle-en-Terre,20820,1,0,0
Kervignac,20810,1,1,0
Kervignac,20801,1,1,0
Rospez,20810,1,1,0
Rospez,20820,1,1,1
Hennebont,20801,1,1,0
Bangor,20810,1,1,0
Bangor,20801,1,1,0
Bangor,20820,1,1,0
Louannec,20815,0,1,1
Louannec,20820,1,1,0
Louannec,20810,0,1,1
Louannec,20820,1,1,1
Caouënnec-Lanvézéac,20820,1,1,0
Caouënnec-Lanvézéac,20801,1,1,0
Hennebont,20820,1,1,1
Hennebont,20810,1,1,1
Hennebont,20801,1,1,1
Hennebont,20815,0,1,1
Inguiniel,20810,1,1,1
Inguiniel,20820,1,1,1
Inguiniel,20815,0,1,1
Plouhinec,20815,0,1,0
Louargat,20820,1,1,1
Louargat,20810,1,1,1
Plouhinec,20810,1,1,1
Plouhinec,20820,1,1,1
Inzinzac-Lochrist,20820,1,1,1
Inzinzac-Lochrist,20815,0,1,1
Inzinzac-Lochrist,20810,1,1,1
Inzinzac-Lochrist,20801,1,1,0
Rostrenen,20820,1,1,1
Rostrenen,20801,1,1,1
Rostrenen,20810,1,1,1
Kervignac,20820,1,1,1
Kervignac,20815,0,1,1
Kervignac,20820,1,1,0
Lanvaudan,20820,1,1,1
Lanvaudan,20810,1,1,1
Lanvaudan,20815,0,1,0
Ploërdut,20801,1,1,0
Kergrist-Moëlou,20820,1,1,0
Kergrist-Moëlou,20810,1,1,0
Kergrist-Moëlou,20815,0,1,0
Kergrist-Moëlou,20801,1,1,0
Kervignac,20810,1,1,1
Coatréven,20801,1,1,0
Merlevenez,20815,0,1,1
Louargat,20820,1,1,0
Louargat,20801,1,1,0
Trévou-Tréguignec,20810,1,1,0
Trévou-Tréguignec,20815,0,1,1
Trévou-Tréguignec,20801,1,1,0
Trévou-Tréguignec,20820,1,1,1
Trévou-Tréguignec,20810,0,0,1
Merlevenez,20801,1,1,0
Ploërdut,20820,1,1,1
Ploërdut,20810,1,1,1
Le Palais,20801,1,1,1
Pont-Melvez,20820,1,1,1
Pont-Melvez,20810,1,1,1
Le Palais,20820,1,1,0
Pont-Melvez,20815,0,1,0
Le Palais,20810,1,1,0
Coatréven,20810,1,1,1
Coatréven,20820,1,1,1
Étel,20801,0,1,1
Étel,20810,1,1,1
Étel,20820,1,1,1
Plouguernével,20801,1,1,0
